Player,Salary,Season
Tim Frazier,"$597,463 ",2020-21
Thon Maker,"$3,086,784 ",2017-18
Thon Maker,"$2,799,720 ",2018-19
Thon Maker,"$3,569,643 ",2019-20
Thon Maker,"$1,737,145 ",2020-21
Thomas Welsh,"$77,250 ",2018-19
Thomas Bryant,"$815,615 ",2017-18
Thomas Bryant,"$1,378,242 ",2018-19
Thomas Bryant,"$8,000,000 ",2019-20
Thomas Bryant,"$8,333,333 ",2020-21
Theo Pinson,"$77,250 ",2018-19
Theo Pinson,"$1,445,697 ",2019-20
Theo Pinson,"$802,182 ",2020-21
Theo Maledon,"$2,000,000 ",2020-21
Thanasis Antetokounmpo,"$1,445,697 ",2019-20
Thanasis Antetokounmpo,"$1,701,593 ",2020-21
Thaddeus Young,"$12,921,348 ",2017-18
Thaddeus Young,"$13,764,045 ",2018-19
Thaddeus Young,"$12,900,000 ",2019-20
Thaddeus Young,"$13,545,000 ",2020-21
Thabo Sefolosha,"$5,250,000 ",2017-18
Thabo Sefolosha,"$5,250,000 ",2018-19
Thabo Sefolosha,"$2,564,753 ",2019-20
Terry Rozier,"$1,988,520 ",2017-18
Terry Rozier,"$3,050,389 ",2018-19
Terry Rozier,"$19,894,737 ",2019-20
Terry Rozier,"$18,900,000 ",2020-21
Terrence Ross,"$10,500,000 ",2017-18
Terrence Ross,"$10,500,000 ",2018-19
Terrence Ross,"$12,500,000 ",2019-20
Terrence Ross,"$13,500,000 ",2020-21
Terrence Jones,"$198,579 ",2018-19
Terrance Ferguson,"$1,785,000 ",2017-18
Terrance Ferguson,"$2,118,840 ",2018-19
Terrance Ferguson,"$2,475,840 ",2019-20
Terrance Ferguson,"$3,944,013 ",2020-21
Terence Davis,"$898,310 ",2019-20
Terence Davis,"$1,517,981 ",2020-21
Terance Mann,"$1,000,000 ",2019-20
Terance Mann,"$1,517,981 ",2020-21
Taurean Prince,"$2,422,560 ",2017-18
Taurean Prince,"$2,526,840 ",2018-19
Taurean Prince,"$3,481,985 ",2019-20
Taurean Prince,"$12,250,000 ",2020-21
Tariq Owens,"$79,568 ",2019-20
Tarik Phillip,"$47,370 ",2018-19
Tarik Black,"$3,290,000 ",2017-18
Talen Horton-Tucker,"$898,310 ",2019-20
Talen Horton-Tucker,"$1,517,981 ",2020-21
Taj Gibson,"$14,000,000 ",2017-18
Taj Gibson,"$14,000,000 ",2018-19
Taj Gibson,"$9,000,000 ",2019-20
Taj Gibson,"$3,283,684 ",2020-21
Tahjere McCall,"$47,370 ",2018-19
Tacko Fall,"$79,568 ",2019-20
Tacko Fall,"$653,924 ",2020-21
Svi Mykhailiuk,"$1,487,694 ",2018-19
Svi Mykhailiuk,"$1,416,852 ",2019-20
Svi Mykhailiuk,"$1,663,861 ",2020-21
Steven Adams,"$22,471,911 ",2017-18
Steven Adams,"$24,157,304 ",2018-19
Steven Adams,"$25,842,697 ",2019-20
Steven Adams,"$29,592,695 ",2020-21
Sterling Brown,"$815,615 ",2017-18
Sterling Brown,"$1,378,242 ",2018-19
Sterling Brown,"$1,618,520 ",2019-20
Sterling Brown,"$1,678,854 ",2020-21
Stephen Curry,"$34,682,550 ",2017-18
Stephen Curry,"$37,457,154 ",2018-19
Stephen Curry,"$40,231,758 ",2019-20
Stephen Curry,"$43,006,362 ",2020-21
Stephan Hicks,"$47,370 ",2018-19
Stanley Johnson,"$3,097,800 ",2017-18
Stanley Johnson,"$3,940,401 ",2018-19
Stanley Johnson,"$3,623,000 ",2019-20
Stanley Johnson,"$3,804,150 ",2020-21
Spencer Hawes,"$2,007,058 ",2017-18
Spencer Hawes,"$2,007,058 ",2018-19
Spencer Hawes,"$2,007,058 ",2020-21
Spencer Dinwiddie,"$1,524,305 ",2017-18
Spencer Dinwiddie,"$1,656,092 ",2018-19
Spencer Dinwiddie,"$10,605,600 ",2019-20
Spencer Dinwiddie,"$11,454,048 ",2020-21
Solomon Hill,"$12,236,535 ",2017-18
Solomon Hill,"$12,763,467 ",2018-19
Solomon Hill,"$13,290,395 ",2019-20
Solomon Hill,"$2,174,318 ",2020-21
Skylar Mays,"$532,218 ",2020-21
Skal Labissiere,"$1,312,611 ",2017-18
Skal Labissiere,"$1,544,951 ",2018-19
Skal Labissiere,"$2,338,846 ",2019-20
Sindarius Thornwell,"$815,615 ",2017-18
Sindarius Thornwell,"$1,378,242 ",2018-19
Sindarius Thornwell,"$183,115 ",2019-20
